symbol,datetime,date,time,open,high,low,close,volume
SIDU,2025-12-22 09:30:00,2025-12-22,09:30:00,1.9706,2.19,1.96,2.0,39420733
SIDU,2025-12-22 09:35:00,2025-12-22,09:35:00,1.995,2.079999,1.899999,1.919999,5600706
SIDU,2025-12-22 09:40:00,2025-12-22,09:40:00,1.914999,1.95,1.799999,1.898399,5453151
SIDU,2025-12-22 09:45:00,2025-12-22,09:45:00,1.899999,1.99,1.84,1.9701,5235013
SIDU,2025-12-22 09:50:00,2025-12-22,09:50:00,1.98,2.099999,1.929999,2.0601,6399582
SIDU,2025-12-22 09:55:00,2025-12-22,09:55:00,2.0606,2.099999,1.98,2.071,4546090
SIDU,2025-12-22 10:00:00,2025-12-22,10:00:00,2.079699,2.099999,2.009999,2.029999,3337158
HXHX,2025-12-22 09:30:00,2025-12-22,09:30:00,0.519699,0.586499,0.5036,0.571399,21130635
HXHX,2025-12-22 09:35:00,2025-12-22,09:35:00,0.5719,0.5964,0.5719,0.5949,3091042
HXHX,2025-12-22 09:40:00,2025-12-22,09:40:00,0.7602,0.839999,0.7602,0.839999,5862181
HXHX,2025-12-22 09:45:00,2025-12-22,09:45:00,0.839999,0.839999,0.750999,0.7663,4642191
HXHX,2025-12-22 09:50:00,2025-12-22,09:50:00,0.7663,0.79,0.712199,0.756299,4825355
HXHX,2025-12-22 09:55:00,2025-12-22,09:55:00,0.7562,0.9077,0.750999,0.811999,6852614
HXHX,2025-12-22 10:00:00,2025-12-22,10:00:00,0.8143,0.851599,0.769999,0.79,60987004
VMAR,2025-12-22 09:30:00,2025-12-22,09:30:00,0.2976,0.31,0.2917,0.304199,74845179
VMAR,2025-12-22 09:35:00,2025-12-22,09:35:00,0.304199,0.3088,0.296099,0.299699,56797673
VMAR,2025-12-22 09:40:00,2025-12-22,09:40:00,0.298599,0.301899,0.293799,0.2951,1023078
VMAR,2025-12-22 09:45:00,2025-12-22,09:45:00,0.294299,0.2978,0.290399,0.291799,852403
VMAR,2025-12-22 09:50:00,2025-12-22,09:50:00,0.2919,0.3059,0.290399,0.297399,991153
VMAR,2025-12-22 09:55:00,2025-12-22,09:55:00,0.298299,0.31,0.290399,0.2939,513573
VMAR,2025-12-22 10:00:00,2025-12-22,10:00:00,0.293599,0.2942,0.2809,0.2856,792772
BBAI,2025-12-22 09:30:00,2025-12-22,09:30:00,6.349999,6.4,6.25,6.281,3406260
BBAI,2025-12-22 09:35:00,2025-12-22,09:35:00,6.289999,6.3,6.17,6.195,1313826
BBAI,2025-12-22 09:40:00,2025-12-22,09:40:00,6.195,6.2852,6.1701,6.229599,988768
