symbol,datetime,date,time,open,high,low,close,volume
OVID,2025-12-22 09:50:00,2025-12-22,09:50:00,1.634999,1.6675,1.62,1.659999,206827
OVID,2025-12-22 09:55:00,2025-12-22,09:55:00,1.669899,1.7,1.659999,1.6899,182197
OVID,2025-12-22 10:00:00,2025-12-22,10:00:00,1.69,1.71,1.681499,1.7,45003
SGMO,2025-12-22 09:30:00,2025-12-22,09:30:00,0.449999,0.4505,0.4451,0.448,189730
SGMO,2025-12-22 09:35:00,2025-12-22,09:35:00,0.4496,0.4498,0.446799,0.446799,54430
SGMO,2025-12-22 09:40:00,2025-12-22,09:40:00,0.449099,0.449999,0.4476,0.4496,54143
SGMO,2025-12-22 09:45:00,2025-12-22,09:45:00,0.449999,0.454899,0.449699,0.4512,70836
SGMO,2025-12-22 09:50:00,2025-12-22,09:50:00,0.450599,0.4512,0.449299,0.4507,63168
SGMO,2025-12-22 09:55:00,2025-12-22,09:55:00,0.4507,0.4575,0.4507,0.4575,74927
SGMO,2025-12-22 10:00:00,2025-12-22,10:00:00,0.4568,0.457599,0.454899,0.455399,160750
GTBP,2025-12-22 09:30:00,2025-12-22,09:30:00,0.81,0.823899,0.769999,0.7975,734684
GTBP,2025-12-22 09:35:00,2025-12-22,09:35:00,0.799899,0.808099,0.779999,0.7949,91381
GTBP,2025-12-22 09:40:00,2025-12-22,09:40:00,0.7903,0.8,0.79,0.7982,525371
GTBP,2025-12-22 09:45:00,2025-12-22,09:45:00,0.8,0.81,0.793099,0.7965,105453
GTBP,2025-12-22 09:50:00,2025-12-22,09:50:00,0.79,0.791999,0.773,0.783599,62645
GTBP,2025-12-22 09:55:00,2025-12-22,09:55:00,0.785499,0.793099,0.7813,0.79,61774
GTBP,2025-12-22 10:00:00,2025-12-22,10:00:00,0.79,0.8029,0.785499,0.8001,87846
WRD,2025-12-22 09:30:00,2025-12-22,09:30:00,9.199999,9.229999,8.96,9.069999,359148
WRD,2025-12-22 09:35:00,2025-12-22,09:35:00,9.079999,9.09,8.96,8.989999,302012
WRD,2025-12-22 09:40:00,2025-12-22,09:40:00,8.984999,9.1194,8.979999,9.117699,98187
WRD,2025-12-22 09:45:00,2025-12-22,09:45:00,9.114999,9.14,9.06,9.109999,301188
WRD,2025-12-22 09:50:00,2025-12-22,09:50:00,9.109999,9.131999,9.095,9.109999,49017
WRD,2025-12-22 09:55:00,2025-12-22,09:55:00,9.128999,9.1525,9.09,9.114999,111094
WRD,2025-12-22 10:00:00,2025-12-22,10:00:00,9.114999,9.125,9.01,9.034999,88617
UMC,2025-12-22 09:30:00,2025-12-22,09:30:00,8.119999,8.149999,8.085,8.104999,117846
UMC,2025-12-22 09:35:00,2025-12-22,09:35:00,8.1,8.109999,8.085,8.09,77333
UMC,2025-12-22 09:40:00,2025-12-22,09:40:00,8.095,8.104999,8.09,8.095,31441
