date,open,high,low,close,volume,symbol
2025-12-24 15:15:00-05:00,2.3,2.32,2.3,2.31,1779.0,SIDU
2025-12-24 15:20:00-05:00,2.31,2.31,2.26,2.26,11339.0,SIDU
2025-12-24 15:25:00-05:00,2.26,2.28,2.25,2.28,17121.0,SIDU
2025-12-24 15:30:00-05:00,2.28,2.28,2.27,2.27,570.0,SIDU
2025-12-24 15:35:00-05:00,2.28,2.28,2.26,2.26,8725.0,SIDU
2025-12-24 15:40:00-05:00,2.27,2.27,2.26,2.27,6484.0,SIDU
2025-12-24 15:45:00-05:00,2.26,2.28,2.26,2.28,3612.0,SIDU
2025-12-24 15:50:00-05:00,2.27,2.27,2.27,2.27,2991.0,SIDU
2025-12-24 15:55:00-05:00,2.27,2.27,2.26,2.27,14031.0,SIDU
2025-12-26 09:30:00-05:00,3.01,3.23,2.98,3.18,20625985.0,SIDU
2025-12-26 09:35:00-05:00,3.19,3.37,3.18,3.27,7155197.0,SIDU
2025-12-26 09:40:00-05:00,3.27,3.33,3.15,3.22,29584920.0,SIDU
2025-12-26 09:45:00-05:00,3.23,3.25,3.11,3.16,152524.0,SIDU
2025-12-26 09:50:00-05:00,2.98,2.98,2.845,2.87,5179250.0,SIDU
2025-12-26 09:55:00-05:00,2.8669,2.8899,2.8383,2.8501,2548064.0,SIDU
2025-12-26 10:00:00-05:00,2.855,2.855,2.6299,2.7299,7400023.0,SIDU
2025-12-26 10:05:00-05:00,2.6985,2.785,2.6768,2.785,3519540.0,SIDU
2025-12-26 10:10:00-05:00,2.8029,2.8499,2.77,2.795,3968877.0,SIDU
2025-12-26 10:15:00-05:00,2.7999,2.82,2.74,2.74,2126107.0,SIDU
2025-12-26 10:20:00-05:00,2.7315,2.7591,2.72,2.72,553559.0,SIDU
2025-12-24 12:05:00-05:00,0.237,0.237,0.237,0.237,1000.0,DTCK
2025-12-24 12:10:00-05:00,0.237,0.237,0.2322,0.2322,14450.0,DTCK
2025-12-24 12:15:00-05:00,0.2325,0.2325,0.2322,0.2322,4710.0,DTCK
2025-12-24 12:20:00-05:00,0.2325,0.2381,0.2325,0.2381,2800.0,DTCK
2025-12-24 12:30:00-05:00,0.2353,0.2353,0.2353,0.2353,4737.0,DTCK
2025-12-24 12:35:00-05:00,0.2379,0.2379,0.2379,0.2379,148.0,DTCK
2025-12-24 12:45:00-05:00,0.2352,0.2352,0.2352,0.2352,0.0,DTCK
2025-12-24 12:50:00-05:00,0.238,0.238,0.2361,0.2361,200.0,DTCK
2025-12-24 12:55:00-05:00,0.2361,0.2379,0.2361,0.2361,2949.0,DTCK
2025-12-26 09:30:00-05:00,0.4805,0.4805,0.44,0.45,19869710.0,DTCK
