symbol,price,volume,marketCap,sector,exchange
HBI,6.47,104189457,2289099956,Consumer Cyclical,New York Stock Exchange
DISH,5.77,50815955,3083430398,Communication Services,NASDAQ Global Select
LUMN,7.77,12141161,7969251860,Communication Services,New York Stock Exchange
LYG,5.26,5878019,79133878941,Financial Services,New York Stock Exchange
