symbol,date,match_score,match_name,entry_price,day_high,day_low,day_close,max_gain,max_loss,final_change,is_win
SOFI,2025-12-01,77.38001573381779,MVIS,29.43,29.7,28.67,29.03,0.917431192660549,2.5823989126741353,-1.35915732246007,False
SOFI,2025-12-02,71.36577886894656,MVIS,30.19,30.42,29.315,29.514999,0.761841669426964,2.898310698906923,-2.235842994369002,False
SOFI,2025-12-03,62.164777107632666,MVIS,29.54,29.93,29.02,29.049999,1.3202437373053506,1.760324983073797,-1.6587711577521986,False
SOFI,2025-12-10,64.93737156502819,IOBT,26.975,27.68,26.479999,27.094999,2.6135310472659805,1.8350361445783208,0.44485264133456887,True
SOFI,2025-12-16,60.347084273496876,Benf,26.59,26.739999,25.729999,26.579999,0.5641180895073378,3.2343023693117727,-0.03761188416697645,False
SOFI,2025-12-18,55.83449290487548,MVIS,26.354999,26.715099,25.950199,26.295,1.3663441990644705,1.5359514906450882,-0.22765699972137238,False
SOFI,2025-12-19,69.41478768536017,IOBT,26.694999,27.364999,26.28,27.229999,2.509833396135365,1.5545945515862283,2.0041206969140557,True
ASAN,2025-12-01,65.55372681835001,CCL,13.02,13.204999,12.52,12.789999,1.4208832565284273,3.840245775729647,-1.7665207373271863,False
ASAN,2025-12-02,67.73194242465716,MVIS,13.098299,13.67,12.92,13.399999,4.364696515173452,1.361237821796562,2.3033525192851263,True
ASAN,2025-12-03,63.264148277494115,VIVK,13.899999,14.55,13.0,14.43,4.676266523472422,6.474813415454197,3.812957108845838,True
ASAN,2025-12-08,64.58761660837159,MVIS,14.35,14.96,14.17,14.619999,4.250871080139381,1.2543554006968622,1.8815261324041834,True
ASAN,2025-12-09,64.04648886864646,VIVK,14.77,15.279999,14.539999,15.104999,3.452938388625596,1.5572173324306005,2.2681042654028425,True
ASAN,2025-12-16,56.19025995007991,Benf,14.199999,14.295,13.909999,14.284999,0.6690211738747297,2.0422536649474474,0.5985915914501055,False
ASAN,2025-12-17,75.10837813324805,MVIS,14.899999,15.095,14.3,14.515,1.3087316314585076,4.026839196432152,-2.5838860794554335,False
AI,2025-12-01,75.52297948429255,MVIS,14.35,14.425,13.989999,14.095,0.5226480836237007,2.5087177700348464,-1.7770034843205507,False
AI,2025-12-02,54.791668237462005,CCL,14.5578,14.64,14.17,14.375,0.5646457569138212,2.6638640453914766,-1.2556842380029969,False
AI,2025-12-03,64.55331460430098,VIVK,14.505,15.17,14.17,15.0,4.5846259910375675,2.3095484315753247,3.412616339193376,True
AI,2025-12-04,54.32597416828943,MVIS,15.1322,15.869999,14.85,15.324999,4.875688928245733,1.864897371168763,1.2740976196455298,True
AI,2025-12-08,74.25499730253524,MVIS,15.6499,15.899999,15.119999,15.46,1.5980868887341053,3.3859705173835013,-1.2134262838740166,False
AI,2025-12-09,59.49937692440782,VIVK,15.47,16.184999,15.2088,16.045,4.621842275371691,1.6884292178409859,3.7168713639301942,True
AI,2025-12-11,64.03016679270138,CCL,15.730999,16.309999,15.609999,15.925,3.6806308359691626,0.7691819190885488,1.2332401775627861,True
AI,2025-12-17,57.363147657615485,MVIS,14.524999,14.579999,14.0,14.05,0.37865751316059637,3.6144511954871694,-3.2702170926139043,False
AI,2025-12-19,64.70198640829136,MVIS,13.965,14.439999,13.81,14.43,3.4013533834586496,1.1099176512710303,3.329752953813103,True
AI,2025-12-22,71.01216642377666,MVIS,14.824999,15.029999,14.51,14.609999,1.3827994187385786,2.1247826053816277,-1.4502530489209469,False
PATH,2025-12-01,59.755991241453806,MVIS,13.92,14.199999,13.55,14.13,2.011487068965518,2.6580459770114886,1.5086206896551786,True
PATH,2025-12-02,60.23157284639834,MVIS,14.42,14.664999,14.25,14.305,1.699022191400832,1.1789181692094308,-0.7975034674063816,False
PATH,2025-12-03,60.41161380489428,VIVK,14.42,15.0,14.17,14.88,4.0221914008321775,1.7337031900138695,3.1900138696255262,True
PATH,2025-12-04,69.5610675663534,MVIS,17.254999,18.7,15.75,18.478647,8.374390517206043,8.722104243529666,7.091556481689724,True
PATH,2025-12-05,67.91977393715776,VIVK,18.52,18.979999,18.1,18.684999,2.483795896328293,2.267818574514029,0.8909233261339183,True
PATH,2025-12-09,67.53727368625378,IOBT,19.379999,19.559999,18.834999,18.979999,0.928792617584757,2.8121776476871934,-2.0639835946328073,False
PATH,2025-12-16,82.71464600393224,IOBT,16.569999,16.6,15.939999,16.1,0.18105613645481913,3.8020521304799058,-2.8364455544022538,False
PATH,2025-12-17,63.7962609088735,IOBT,16.28,16.719999,15.84,15.96,2.7026965601965616,2.7027027027027106,-1.9656019656019672,True
OPEN,2025-12-02,63.35584638159338,MVIS,7.309999,7.449999,6.954999,6.994999,1.9151849405177712,4.856361813455794,-4.309166116165001,False
OPEN,2025-12-03,65.24656695683682,VIVK,7.059999,7.119999,6.86,6.929999,0.8498584773170592,2.832847426748928,-1.8413600341869847,False
OPEN,2025-12-04,62.976151777513685,VIVK,6.9986,7.739999,6.908199,7.57,10.593532992312754,1.291701197382333,8.164490040865324,True
OPEN,2025-12-12,50.642757934280745,VIVK,7.079999,7.224999,6.55,6.559999,2.0480228881388327,7.485862639246137,-7.344633805739233,True
OPEN,2025-12-16,52.137548765585045,VIVK,6.594999,6.784999,6.3962,6.719999,2.8809708689872493,3.0143901462304887,1.8953755717021337,True
OPEN,2025-12-22,61.23920008660599,MVIS,6.735,6.8,6.369999,6.42,0.9651076466221159,5.419465478841875,-4.677060133630295,False
