Symbol,Price,EMA9,Time
AIV,5.789999,5.772870210693558,2025-12-23 15:55:00-05:00
LION,8.979999,8.974245964565739,2025-12-23 15:55:00-05:00
NB,5.914999,5.905080940053947,2025-12-23 15:55:00-05:00
APPS,5.239999,5.212648316521805,2025-12-23 15:55:00-05:00
