symbol,date,match_score,match_name,entry_price,day_high,day_low,day_close,max_gain,max_loss,final_change,is_win
RIVN,2025-12-12,66.03527619237133,MVIS,19.174999,19.6,16.729999,18.399999,2.2164329708700468,12.750978500702923,-4.041721201654293,True
STEM,2025-12-08,65.14820301776433,MVIS,18.909999,19.0,17.989999,18.079999,0.4759439701715526,4.865150971187244,-4.389212289223274,False
