date,open,high,low,close,volume,symbol
2025-12-22 09:30:00-05:00,0.250999,0.250999,0.250999,0.250999,1460.0,MWG
2025-12-22 09:35:00-05:00,0.250999,0.251109,0.250999,0.251109,10164.0,MWG
2025-12-22 09:55:00-05:00,0.2511,0.2511,0.2511,0.2511,4215.0,MWG
2025-12-22 10:10:00-05:00,0.250999,0.250999,0.250999,0.250999,143.0,MWG
2025-12-22 10:25:00-05:00,0.250999,0.250999,0.250999,0.250999,104.0,MWG
2025-12-22 12:10:00-05:00,0.252999,0.252999,0.252999,0.252999,2000.0,MWG
2025-12-22 12:30:00-05:00,0.252999,0.252999,0.252999,0.252999,148.0,MWG
2025-12-22 13:00:00-05:00,0.252999,0.252999,0.252999,0.252999,101.0,MWG
2025-12-22 13:30:00-05:00,0.2531,0.2531,0.2531,0.2531,652.0,MWG
2025-12-22 13:45:00-05:00,0.252999,0.252999,0.252999,0.252999,100.0,MWG
2025-12-22 14:00:00-05:00,0.252999,0.252999,0.252999,0.252999,129.0,MWG
2025-12-22 14:05:00-05:00,0.255843,0.255843,0.255843,0.255843,115.0,MWG
2025-12-22 14:10:00-05:00,0.252999,0.252999,0.252999,0.252999,101.0,MWG
2025-12-23 11:10:00-05:00,0.256,0.25615,0.256,0.25615,462.0,MWG
2025-12-23 11:25:00-05:00,0.252099,0.252099,0.252099,0.252099,102.0,MWG
2025-12-23 12:20:00-05:00,0.256199,0.256199,0.256199,0.256199,400.0,MWG
2025-12-23 12:55:00-05:00,0.2522,0.2522,0.2522,0.2522,140.0,MWG
2025-12-23 13:35:00-05:00,0.252101,0.252101,0.252101,0.252101,1526.0,MWG
2025-12-23 13:55:00-05:00,0.252099,0.252099,0.252099,0.252099,215.0,MWG
2025-12-23 15:00:00-05:00,0.2531,0.2531,0.2531,0.2531,101.0,MWG
2025-12-23 14:20:00-05:00,0.178599,0.1955,0.178299,0.1834,379698.0,XTKG
2025-12-23 14:25:00-05:00,0.183799,0.1992,0.180399,0.1894,604200.0,XTKG
2025-12-23 14:30:00-05:00,0.1894,0.2,0.1894,0.2,25527254.0,XTKG
2025-12-23 14:35:00-05:00,0.2,0.2,0.182999,0.182999,468494.0,XTKG
2025-12-23 14:40:00-05:00,0.1844,0.192499,0.182699,0.191499,241019.0,XTKG
2025-12-23 14:45:00-05:00,0.191499,0.1923,0.185499,0.188899,287494.0,XTKG
2025-12-23 14:50:00-05:00,0.188299,0.197999,0.185599,0.1929,301153.0,XTKG
2025-12-23 14:55:00-05:00,0.194999,0.194999,0.185,0.188999,224580.0,XTKG
2025-12-23 15:00:00-05:00,0.1896,0.1896,0.1736,0.18,294365.0,XTKG
2025-12-23 15:05:00-05:00,0.1799,0.187999,0.1799,0.1867,265671.0,XTKG
2025-12-23 15:10:00-05:00,0.1867,0.1867,0.179299,0.182899,209235.0,XTKG
2025-12-23 15:15:00-05:00,0.1814,0.182999,0.1623,0.163599,384762.0,XTKG
2025-12-23 15:20:00-05:00,0.1641,0.171599,0.163599,0.169499,395278.0,XTKG
2025-12-23 15:25:00-05:00,0.17,0.1737,0.165,0.1699,30053573.0,XTKG
