date,open,high,low,close,volume,symbol
2025-12-24 12:45:00-05:00,2.26,2.27,2.2,2.21,1239462.0,SIDU
2025-12-24 12:50:00-05:00,2.21,2.25,2.17,2.22,794857.0,SIDU
2025-12-24 12:55:00-05:00,2.21,2.22,2.17,2.21,23460375.0,SIDU
2025-12-26 09:30:00-05:00,3.01,3.23,2.98,3.18,20625985.0,SIDU
2025-12-26 09:35:00-05:00,3.19,3.37,3.18,3.27,7155197.0,SIDU
2025-12-26 09:40:00-05:00,3.27,3.33,3.15,3.22,29584920.0,SIDU
2025-12-26 09:45:00-05:00,3.23,3.25,2.9,2.98,4670324.0,SIDU
2025-12-26 09:50:00-05:00,2.98,2.98,2.83,2.87,3505669.0,SIDU
2025-12-26 09:55:00-05:00,2.87,2.89,2.83,2.86,1807827.0,SIDU
2025-12-26 10:00:00-05:00,2.85,2.85,2.59,2.72,4847499.0,SIDU
2025-12-26 10:05:00-05:00,2.72,2.82,2.67,2.79,2243726.0,SIDU
2025-12-26 10:10:00-05:00,2.79,2.85,2.78,2.8,2900583.0,SIDU
2025-12-26 10:15:00-05:00,2.8,2.82,2.74,2.74,1467264.0,SIDU
2025-12-26 10:20:00-05:00,2.74,2.79,2.66,2.76,2144831.0,SIDU
2025-12-26 10:25:00-05:00,2.76,2.83,2.76,2.81,1259113.0,SIDU
2025-12-26 10:30:00-05:00,2.8,2.85,2.76,2.82,1330430.0,SIDU
2025-12-26 10:35:00-05:00,2.83,2.88,2.77,2.77,257492.0,SIDU
2025-12-26 10:40:00-05:00,2.77,2.79,2.77,2.78,3957.0,SIDU
2025-12-26 10:45:00-05:00,2.625,2.63,2.5844,2.63,2018204.0,SIDU
2025-12-26 10:50:00-05:00,2.6397,2.68,2.6286,2.67,1430057.0,SIDU
2025-12-24 12:45:00-05:00,0.2409,0.2409,0.2379,0.2385,21519.0,PCLA
2025-12-24 12:50:00-05:00,0.2394,0.24,0.2371,0.2371,82186.0,PCLA
2025-12-24 12:55:00-05:00,0.2386,0.2386,0.2355,0.2355,42655.0,PCLA
2025-12-26 09:30:00-05:00,0.3217,0.3233,0.3099,0.318,19592711.0,PCLA
2025-12-26 09:35:00-05:00,0.3122,0.3122,0.303,0.3038,304528.0,PCLA
2025-12-26 09:40:00-05:00,0.3035,0.31,0.3007,0.303,388026.0,PCLA
2025-12-26 09:45:00-05:00,0.3028,0.3037,0.3006,0.3011,257238.0,PCLA
2025-12-26 09:50:00-05:00,0.3011,0.3025,0.3004,0.3005,360303.0,PCLA
2025-12-26 09:55:00-05:00,0.3005,0.3005,0.3004,0.3005,311921.0,PCLA
2025-12-26 10:00:00-05:00,0.3004,0.3005,0.2832,0.2865,663882.0,PCLA
2025-12-26 10:05:00-05:00,0.2868,0.2985,0.2868,0.2943,185341.0,PCLA
2025-12-26 10:10:00-05:00,0.2944,0.2945,0.29,0.2914,81037.0,PCLA
2025-12-26 10:15:00-05:00,0.2917,0.3094,0.2908,0.3094,398378.0,PCLA
2025-12-26 10:20:00-05:00,0.3085,0.3277,0.306,0.313,1794289.0,PCLA
2025-12-26 10:25:00-05:00,0.3123,0.3701,0.3123,0.3548,7202530.0,PCLA
2025-12-26 10:30:00-05:00,0.3569,0.3825,0.3547,0.374,45997749.0,PCLA
2025-12-26 10:35:00-05:00,0.3999,0.4274,0.39,0.4268,16825857.0,PCLA
2025-12-26 10:40:00-05:00,0.4299,0.463,0.42,0.4333,14597555.0,PCLA
2025-12-26 10:45:00-05:00,0.4375,0.4403,0.4206,0.4374,8966327.0,PCLA
2025-12-26 10:50:00-05:00,0.4351,0.4377,0.4078,0.4119,7401263.0,PCLA
2025-12-24 12:45:00-05:00,0.2352,0.2352,0.2352,0.2352,0.0,DTCK
2025-12-24 12:50:00-05:00,0.238,0.238,0.2361,0.2361,200.0,DTCK
2025-12-24 12:55:00-05:00,0.2361,0.2379,0.2361,0.2361,2949.0,DTCK
2025-12-26 09:30:00-05:00,0.4805,0.4805,0.44,0.45,19869710.0,DTCK
2025-12-26 09:35:00-05:00,0.4501,0.4501,0.41,0.4277,44857468.0,DTCK
2025-12-26 09:40:00-05:00,0.4277,0.4522,0.4121,0.4166,2711266.0,DTCK
2025-12-26 09:45:00-05:00,0.4166,0.4167,0.3785,0.3848,2865274.0,DTCK
2025-12-26 09:50:00-05:00,0.3846,0.3971,0.3766,0.3832,1457417.0,DTCK
2025-12-26 09:55:00-05:00,0.3832,0.394,0.37,0.3701,1121701.0,DTCK
2025-12-26 10:00:00-05:00,0.3701,0.395,0.3666,0.392,1541709.0,DTCK
2025-12-26 10:05:00-05:00,0.3921,0.3966,0.3766,0.3867,1081978.0,DTCK
2025-12-26 10:10:00-05:00,0.3882,0.42,0.3864,0.4131,2610097.0,DTCK
2025-12-26 10:15:00-05:00,0.4131,0.4196,0.3817,0.3868,1420201.0,DTCK
2025-12-26 10:20:00-05:00,0.3866,0.3867,0.367,0.3696,500188.0,DTCK
2025-12-26 10:25:00-05:00,0.37,0.388,0.3686,0.386,1635013.0,DTCK
2025-12-26 10:30:00-05:00,0.3868,0.3945,0.3705,0.3705,1060773.0,DTCK
2025-12-26 10:35:00-05:00,0.373,0.3768,0.3701,0.3728,643676.0,DTCK
2025-12-26 10:40:00-05:00,0.3723,0.3723,0.361,0.3627,890555.0,DTCK
2025-12-26 10:45:00-05:00,0.362,0.362,0.352,0.3521,1245241.0,DTCK
2025-12-26 10:50:00-05:00,0.352,0.354,0.352,0.354,530891.0,DTCK
2025-12-24 12:45:00-05:00,0.1562,0.157,0.1544,0.157,198075.0,XTKG
2025-12-24 12:50:00-05:00,0.1574,0.1592,0.1574,0.1579,324443.0,XTKG
2025-12-24 12:55:00-05:00,0.1578,0.1628,0.1578,0.1628,401116.0,XTKG
2025-12-26 09:30:00-05:00,0.1751,0.1835,0.173,0.1739,50367652.0,XTKG
2025-12-26 09:35:00-05:00,0.174,0.1747,0.1686,0.1688,600103.0,XTKG
2025-12-26 09:40:00-05:00,0.1688,0.1688,0.1644,0.1675,354508.0,XTKG
2025-12-26 09:45:00-05:00,0.1676,0.1747,0.1675,0.1738,534429.0,XTKG
2025-12-26 09:50:00-05:00,0.1738,0.1738,0.17,0.1713,30164362.0,XTKG
2025-12-26 09:55:00-05:00,0.1713,0.1725,0.1683,0.17,160622.0,XTKG
2025-12-26 10:00:00-05:00,0.1696,0.17,0.1664,0.1665,262575.0,XTKG
2025-12-26 10:05:00-05:00,0.1665,0.169,0.1664,0.1667,377616.0,XTKG
2025-12-26 10:10:00-05:00,0.1667,0.169,0.166,0.169,117887.0,XTKG
2025-12-26 10:15:00-05:00,0.169,0.18,0.1685,0.1799,336402.0,XTKG
2025-12-26 10:20:00-05:00,0.1797,0.1798,0.1726,0.1747,174483.0,XTKG
2025-12-26 10:25:00-05:00,0.1746,0.1746,0.1657,0.17,100443.0,XTKG
2025-12-26 10:30:00-05:00,0.1691,0.171,0.1683,0.1691,247611.0,XTKG
2025-12-26 10:35:00-05:00,0.1687,0.1696,0.1644,0.1656,612161.0,XTKG
2025-12-26 10:40:00-05:00,0.1656,0.1676,0.1656,0.1676,170763.0,XTKG
2025-12-26 10:45:00-05:00,0.1677,0.1678,0.1649,0.1649,198439.0,XTKG
2025-12-26 10:50:00-05:00,0.165,0.1687,0.165,0.1674,181150.0,XTKG
2025-12-24 12:45:00-05:00,0.2553,0.2944,0.2532,0.2913,607518.0,NCL
2025-12-24 12:50:00-05:00,0.2882,0.29,0.2657,0.2685,485187.0,NCL
2025-12-24 12:55:00-05:00,0.271,0.273,0.2531,0.2661,176864.0,NCL
2025-12-26 09:30:00-05:00,0.3274,0.3366,0.3123,0.3286,65245193.0,NCL
2025-12-26 09:35:00-05:00,0.3272,0.3285,0.3032,0.3118,1603805.0,NCL
2025-12-26 09:40:00-05:00,0.3113,0.3211,0.3104,0.314,723797.0,NCL
2025-12-26 09:45:00-05:00,0.3121,0.313,0.305,0.3052,688958.0,NCL
2025-12-26 09:50:00-05:00,0.3051,0.313,0.302,0.3085,750905.0,NCL
2025-12-26 09:55:00-05:00,0.3089,0.3255,0.3089,0.3238,1092824.0,NCL
2025-12-26 10:00:00-05:00,0.321,0.321,0.2934,0.3012,1331881.0,NCL
2025-12-26 10:05:00-05:00,0.3011,0.3073,0.3,0.3024,533271.0,NCL
2025-12-26 10:10:00-05:00,0.3031,0.3031,0.2972,0.3,404886.0,NCL
2025-12-26 10:15:00-05:00,0.2997,0.3065,0.297,0.3052,482099.0,NCL
2025-12-26 10:20:00-05:00,0.3046,0.3164,0.3046,0.309,731415.0,NCL
2025-12-26 10:25:00-05:00,0.307,0.3096,0.3037,0.3089,274228.0,NCL
2025-12-26 10:30:00-05:00,0.309,0.3162,0.306,0.3116,360777.0,NCL
2025-12-26 10:35:00-05:00,0.311,0.328,0.311,0.3237,1037113.0,NCL
2025-12-26 10:40:00-05:00,0.3234,0.332,0.3106,0.311,1470111.0,NCL
2025-12-26 10:45:00-05:00,0.3112,0.316,0.3107,0.3156,572411.0,NCL
2025-12-26 10:50:00-05:00,0.3181,0.3231,0.3158,0.3216,532747.0,NCL
2025-12-24 12:45:00-05:00,0.166,0.1696,0.1589,0.1589,214357.0,ECDA
2025-12-24 12:50:00-05:00,0.16,0.16,0.16,0.16,18058.0,ECDA
2025-12-24 12:55:00-05:00,0.1605,0.1607,0.1573,0.1577,63086.0,ECDA
2025-12-26 09:30:00-05:00,1.1499,1.405,1.1499,1.3899,7096199.0,ECDA
2025-12-26 09:35:00-05:00,1.3987,1.415,1.2746,1.2897,5815478.0,ECDA
2025-12-26 09:40:00-05:00,1.2797,1.44,1.1984,1.4286,5888959.0,ECDA
2025-12-26 09:45:00-05:00,1.4303,1.5562,1.4199,1.5562,5658452.0,ECDA
2025-12-26 09:50:00-05:00,1.6916,1.94,1.6599,1.925,11519468.0,ECDA
2025-12-26 09:55:00-05:00,1.9201,1.9201,1.7501,1.7501,5738652.0,ECDA
2025-12-26 10:00:00-05:00,1.7516,1.84,1.72,1.8002,3453996.0,ECDA
2025-12-26 10:05:00-05:00,1.805,1.805,1.595,1.6398,4088136.0,ECDA
2025-12-26 10:10:00-05:00,1.6386,1.6799,1.5983,1.6384,3005164.0,ECDA
2025-12-26 10:15:00-05:00,1.6214,1.7587,1.5848,1.7016,4070316.0,ECDA
2025-12-26 10:20:00-05:00,1.6901,1.6986,1.55,1.585,2814583.0,ECDA
2025-12-26 10:25:00-05:00,1.5817,1.6085,1.42,1.445,3752399.0,ECDA
2025-12-26 10:30:00-05:00,1.42,1.4497,1.3001,1.3212,3319076.0,ECDA
2025-12-26 10:35:00-05:00,1.33,1.38,1.32,1.38,1421319.0,ECDA
2025-12-26 10:40:00-05:00,1.3771,1.3771,1.28,1.3118,1188212.0,ECDA
2025-12-26 10:45:00-05:00,1.32,1.36,1.3003,1.31,808251.0,ECDA
2025-12-26 10:50:00-05:00,1.3186,1.37,1.2703,1.275,1156914.0,ECDA
2025-12-24 12:45:00-05:00,0.1094,0.11,0.1094,0.1099,28778.0,ATPC
2025-12-24 12:50:00-05:00,0.1099,0.1104,0.1099,0.1104,55723.0,ATPC
2025-12-24 12:55:00-05:00,0.1108,0.1111,0.1104,0.1105,5067783.0,ATPC
2025-12-26 09:30:00-05:00,0.12,0.1236,0.12,0.1212,425805.0,ATPC
2025-12-26 09:35:00-05:00,0.1207,0.1209,0.1195,0.12,854934.0,ATPC
2025-12-26 09:40:00-05:00,0.1199,0.12,0.1179,0.12,883864.0,ATPC
2025-12-26 09:45:00-05:00,0.12,0.12,0.117,0.1181,378069.0,ATPC
2025-12-26 09:50:00-05:00,0.1181,0.1231,0.1181,0.1222,569239.0,ATPC
2025-12-26 09:55:00-05:00,0.1226,0.1226,0.1199,0.1207,246268.0,ATPC
2025-12-26 10:00:00-05:00,0.1204,0.1224,0.1192,0.1193,122802.0,ATPC
