symbol,open,high,low,close
EFA,95.404998,95.449996,95.400001,95.434997
GOGO,9.14,9.169899,9.1293,9.1293
GOGO,9.14,9.14,9.119999,9.14
GOGO,9.14,9.18,9.135,9.159999
GOGO,9.149999,9.17,9.14,9.14
GOGO,9.13,9.149999,9.114999,9.149999
GOGO,9.145,9.159999,9.13,9.13
INSM,167.774993,168.710006,167.029998,167.714996
INSM,167.990005,168.36,166.710098,167.649993
INSM,167.475006,169.809997,166.949996,169.039993
INSM,168.649993,170.220001,168.369995,169.815002
INSM,169.949996,171.550003,169.934997,171.380004
INSM,171.25,172.509994,171.065002,172.509994
INTR,8.119999,8.159999,8.109999,8.149999
INTR,8.145,8.17,8.13,8.159999
INTR,8.1658,8.18,8.1658,8.18
INTR,8.18,8.21,8.18,8.185
INTR,8.189999,8.225,8.189999,8.215
INTR,8.215,8.234999,8.21,8.21
IOBT,0.419999,0.419999,0.411799,0.4189
IOBT,0.418,0.43,0.418,0.424199
IOBT,0.425799,0.43,0.423599,0.428999
IOBT,0.429899,0.4399,0.4286,0.4287
IOBT,0.431699,0.4467,0.4287,0.4444
IOBT,0.444299,0.4481,0.440499,0.447299
KODK,8.46,8.505,8.4146,8.479999
KODK,8.479999,8.569999,8.479999,8.52
KODK,8.529999,8.67,8.529999,8.63
KODK,8.619999,8.72,8.619999,8.71
KODK,8.75,8.8183,8.75,8.8183
KODK,8.805,8.85,8.779999,8.842
METC,15.699999,15.8323,15.6,15.75
METC,15.744999,15.909999,15.699999,15.885
METC,15.92,16.28,15.92,16.12
METC,16.17,16.3484,16.129999,16.29
METC,16.264999,16.329999,16.159999,16.184999
METC,16.229999,16.229999,16.01,16.149999
MRNA,31.399999,31.399999,31.1874,31.25
MRNA,31.264999,31.459999,31.2,31.37
MRNA,31.409999,31.774999,31.35,31.77
MRNA,31.77,31.829999,31.69,31.729999
MRNA,31.75,31.87,31.6958,31.85
MRNA,31.8558,32.060001,31.8015,32.060001
MVIS,0.889999,0.9193,0.8881,0.9193
MVIS,0.916,0.918299,0.9121,0.914799
MVIS,0.914799,0.920899,0.912299,0.916
MVIS,0.916,0.920899,0.9156,0.916
MVIS,0.916899,0.935199,0.9167,0.9348
MVIS,0.933399,0.947,0.931999,0.943
NBIS,80.650001,81.300003,80.160102,80.875
NBIS,80.875,82.448303,80.635299,82.252296
NBIS,82.305,83.709999,81.769996,83.611297
NBIS,83.667297,84.449996,83.599998,84.04
NBIS,84.089996,84.739997,83.699996,84.309997
NBIS,84.339996,85.379997,84.010002,85.379997
NBY,3.099999,3.2499,3.099999,3.2499
NBY,3.22,3.446599,3.190099,3.434999
NBY,3.3921,3.49,3.3921,3.47
NBY,3.48,3.509999,3.45,3.454999
NBY,3.44,3.441999,3.349999,3.39
NBY,3.3801,3.45,3.3801,3.43
PM,159.369995,159.774993,159.300003,159.309997
PM,159.429992,159.820007,159.270004,159.695495
PM,159.719192,160.085006,159.719192,159.945007
PM,159.964996,160.259994,159.850097,160.009994
PM,160.009994,160.199996,159.919998,160.139999
PM,160.11,160.270004,159.889999,160.240005
RIVN,20.309999,20.969999,20.309999,20.84
RIVN,20.84,21.25,20.78,21.114999
RIVN,21.114999,21.26,20.86,21.0
RIVN,20.94,21.299999,20.84,21.149999
RIVN,21.159999,21.329999,21.0,21.184999
RIVN,21.1844,21.344999,21.11,21.2593
SLV,47.099998,47.11,46.889999,46.934501
SLV,46.93,47.29,46.93,47.25
SLV,47.255001,47.389999,47.240001,47.380001
SLV,47.384998,47.389999,47.224998,47.319999
SLV,47.319999,47.5,47.319999,47.485
SLV,47.4855,47.569999,47.459999,47.515598
TRP,54.279998,54.279998,53.990001,54.095001
TRP,54.089,54.209999,54.049999,54.18
TRP,54.209999,54.240001,54.18,54.209999
TRP,54.205001,54.259998,54.189998,54.259998
TRP,54.279998,54.29,54.240001,54.29
TRP,54.279998,54.36,54.279998,54.36
WIT,2.91,2.91,2.89,2.9
WIT,2.904999,2.93,2.904999,2.92
WIT,2.924999,2.934999,2.924999,2.934999
WIT,2.934999,2.94,2.924999,2.93
WIT,2.93,2.94,2.924999,2.934999
WIT,2.94,2.97,2.94,2.964999
