datetime,symbol,open,high,low,close,volume,time
2025-12-19 09:40:00-05:00,SIDU,0.9125,0.949999,0.9124,0.9207,98544,2025-12-19 09:40:00
2025-12-19 09:45:00-05:00,SIDU,0.923699,0.944199,0.923699,0.944199,10264,2025-12-19 09:45:00
2025-12-19 09:50:00-05:00,SIDU,0.934,0.945999,0.934,0.934099,27650,2025-12-19 09:50:00
2025-12-19 09:55:00-05:00,SIDU,0.921599,0.97,0.921599,0.97,114917,2025-12-19 09:55:00
2025-12-19 09:30:00-05:00,WIT,2.91,2.91,2.89,2.9,74965,2025-12-19 09:30:00
2025-12-19 09:35:00-05:00,WIT,2.904999,2.93,2.904999,2.92,87551,2025-12-19 09:35:00
2025-12-19 09:40:00-05:00,WIT,2.924999,2.934999,2.924999,2.934999,39013,2025-12-19 09:40:00
2025-12-19 09:45:00-05:00,WIT,2.934999,2.94,2.924999,2.93,142975,2025-12-19 09:45:00
2025-12-19 09:50:00-05:00,WIT,2.93,2.94,2.924999,2.934999,122278,2025-12-19 09:50:00
2025-12-19 09:55:00-05:00,WIT,2.94,2.97,2.94,2.964999,76800,2025-12-19 09:55:00
