symbol,datetime,date,time,open,high,low,close,volume
HIVE,2025-12-22 09:50:00,2025-12-22,09:50:00,2.94,2.99,2.934999,2.984999,203080
HIVE,2025-12-22 09:55:00,2025-12-22,09:55:00,2.9855,3.0,2.974999,2.974999,113945
HIVE,2025-12-22 10:00:00,2025-12-22,10:00:00,2.98,2.99,2.97,2.974999,71113
GGB,2025-12-22 09:30:00,2025-12-22,09:30:00,3.66,3.679399,3.65,3.674999,65683
GGB,2025-12-22 09:35:00,2025-12-22,09:35:00,3.68,3.68,3.67,3.67,8865
GGB,2025-12-22 09:40:00,2025-12-22,09:40:00,3.674999,3.68,3.671,3.68,38441
GGB,2025-12-22 09:45:00,2025-12-22,09:45:00,3.684999,3.6891,3.68,3.680599,35218
GGB,2025-12-22 09:50:00,2025-12-22,09:50:00,3.69,3.69,3.68,3.69,51635
GGB,2025-12-22 09:55:00,2025-12-22,09:55:00,3.69,3.69,3.684999,3.69,17132
GGB,2025-12-22 10:00:00,2025-12-22,10:00:00,3.684999,3.696,3.684999,3.694999,156768
IQ,2025-12-22 09:30:00,2025-12-22,09:30:00,1.861999,1.869799,1.86,1.865,92476
IQ,2025-12-22 09:35:00,2025-12-22,09:35:00,1.862699,1.865,1.86,1.865,33819
IQ,2025-12-22 09:40:00,2025-12-22,09:40:00,1.865,1.87,1.86,1.87,22641
IQ,2025-12-22 09:45:00,2025-12-22,09:45:00,1.865,1.87,1.86,1.87,142098
IQ,2025-12-22 09:50:00,2025-12-22,09:50:00,1.865,1.879999,1.861199,1.873499,147415
IQ,2025-12-22 09:55:00,2025-12-22,09:55:00,1.875,1.894999,1.875,1.894999,381593
IQ,2025-12-22 10:00:00,2025-12-22,10:00:00,1.889999,1.899999,1.889999,1.8925,25339
BTE,2025-12-22 09:30:00,2025-12-22,09:30:00,3.18,3.234999,3.17,3.19,352426
BTE,2025-12-22 09:35:00,2025-12-22,09:35:00,3.194999,3.2,3.17,3.17,276873
BTE,2025-12-22 09:40:00,2025-12-22,09:40:00,3.174999,3.19,3.17,3.18,270409
BTE,2025-12-22 09:45:00,2025-12-22,09:45:00,3.184999,3.197299,3.17,3.1702,309173
BTE,2025-12-22 09:50:00,2025-12-22,09:50:00,3.174999,3.18,3.17,3.174999,17077
BTE,2025-12-22 09:55:00,2025-12-22,09:55:00,3.17,3.174999,3.164999,3.17,153279
BTE,2025-12-22 10:00:00,2025-12-22,10:00:00,3.17,3.17,3.144999,3.144999,93189
SLS,2025-12-22 09:30:00,2025-12-22,09:30:00,2.42,2.45,2.41,2.434999,485522
SLS,2025-12-22 09:35:00,2025-12-22,09:35:00,2.434999,2.4899,2.42,2.47,475182
SLS,2025-12-22 09:40:00,2025-12-22,09:40:00,2.464999,2.5064,2.46,2.469799,116074
SLS,2025-12-22 09:45:00,2025-12-22,09:45:00,2.469899,2.519999,2.45,2.509999,123003
SLS,2025-12-22 09:50:00,2025-12-22,09:50:00,2.509999,2.559999,2.509999,2.545,157732
SLS,2025-12-22 09:55:00,2025-12-22,09:55:00,2.545,2.569,2.539999,2.559999,448247
SLS,2025-12-22 10:00:00,2025-12-22,10:00:00,2.5545,2.559999,2.539999,2.545,79895
PGEN,2025-12-22 09:30:00,2025-12-22,09:30:00,4.467999,4.539999,4.36,4.489999,248120
PGEN,2025-12-22 09:35:00,2025-12-22,09:35:00,4.489999,4.489999,4.429999,4.429999,23093
PGEN,2025-12-22 09:40:00,2025-12-22,09:40:00,4.409999,4.42,4.38,4.38,93395
